# data: 2026-02-26 18:24
# kierowca: hubert
# miejsce: pabianicka
# komentarz: ioio
race_time,lap_number,speed,rpm,oil_temperature,engine_temperature,intake_temperature,emission_temperature,battery_voltage
0.19,1,46,5467,109,95,35,600,14.2
0.8,1,59,6985,109,95,35,600,14.2
1.41,2,41,4825,109,95,35,600,14.2
2.02,2,59,6968,109,96,35,600,14.2
2.63,3,56,6534,109,96,35,600,14.2
3.24,3,55,6479,109,96,35,600,14.2
3.85,3,30,3608,109,96,35,600,14.2
4.46,3,17,2006,109,97,35,600,14.2
5.07,2,33,3940,109,97,35,600,14.2
5.68,2,57,6670,109,97,35,600,14.2
6.29,2,54,6309,109,97,35,600,14.2
6.89,3,48,5709,108,98,35,600,14.2
7.5,3,59,6950,108,98,35,600,14.2
8.11,3,40,4734,108,98,35,600,14.2
8.72,3,18,2182,108,98,35,600,14.2
9.33,3,25,2939,107,99,35,600,14.2
9.94,3,50,5915,107,99,35,600,14.2
10.75,3,54,6375,107,99,35,600,14.2
